feature,importance
Start_Lat,0.2571586746470902
Start_Lng,0.20872680069071683
distance_to_aadt_m,0.14313984933903298
aadt,0.13328998924623187
Distance(mi),0.09377406466910716
is_urban,0.03696129655068928
hour,0.02883065782356877
day_of_week,0.0146602468223187
is_weekend,0.01292401651890089
Humidity(%),0.01142106762139089
Pressure(in),0.010946610590628358
Temperature(F),0.010668464944514977
month,0.006973781077923474
Wind_Speed(mph),0.006886527926443418
Visibility(mi),0.005013051526370145
temp_category_unknown,0.004670273415246593
is_rush_hour,0.004368131509400483
weather_category_cloudy,0.003328597032882919
weather_category_rain,0.0014593328011379097
temp_category_warm,0.0010919389316111725
adverse_weather,0.0010607295059388852
temp_category_mild,0.0008883541320366187
temp_category_hot,0.0006082069177458582
low_visibility,0.0004516363991756061
temp_category_freezing,0.00036927685477387894
weather_category_fog,0.00023778804395899056
weather_category_snow,9.06344611632419e-05
is_junction,0.0
